date,chunky_sneakers
2020-05-04,0.02282787339853808
2020-05-11,0.02471232674119876
2020-05-18,0.02502846992886475
2020-05-25,0.02621660277911861
2020-06-01,0.02586312205752735
2020-06-08,0.02473018567236274
2020-06-15,0.02224732561788682
2020-06-22,0.02063334051908034
2020-06-29,0.02277117120447516
2020-07-06,0.0225401831362307
2020-07-13,0.02292677571918544
2020-07-20,0.02283799800521148
2020-07-27,0.02411943323804163
2020-08-03,0.02273154412463271
2020-08-10,0.02479250302215672
2020-08-17,0.02440889271136971
2020-08-24,0.02289849480109028
2020-08-31,0.02218678655101929
2020-09-07,0.02445959722009265
2020-09-14,0.02545455193259806
2020-09-21,0.0220932381671968
2020-09-28,0.02264420171623373
2020-10-05,0.02149359529710904
2020-10-12,0.02158631100960485
2020-10-19,0.02264539009595913
